eventId,sourceSymbol,eventDate,mappedCik,mappingConfidence,companyName,datasetOrigin,actorFamily,stage2SealRole,trainingEligible,windowStart,windowEnd,edgarLogAvailable
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NNOX_20230501,NNOX,2023-05-01,1795251,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-04-21,2023-05-06,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NNVC_20100316,NNVC,2010-03-16,1379006,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2010-03-06,2010-03-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NNVC_20130226,NNVC,2013-02-26,1379006,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2013-02-16,2013-03-03,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NOTV_20070208,NOTV,2007-02-08,720154,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-01-29,2007-02-13,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NOTV_20091016,NOTV,2009-10-16,720154,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-10-06,2009-10-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NTAP_20030820,NTAP,2003-08-20,1002047,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2003-08-10,2003-08-25,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NTAP_20041117,NTAP,2004-11-17,1002047,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-11-07,2004-11-22,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NVAX_20050817,NVAX,2005-08-17,1000694,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2005-08-07,2005-08-22,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NVAX_20081010,NVAX,2008-10-10,1000694,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-09-30,2008-10-15,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NVDA_20050513,NVDA,2005-05-13,1045810,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2005-05-03,2005-05-18,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NVDA_20150807,NVDA,2015-08-07,1045810,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2015-07-28,2015-08-12,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ON_20021118,ON,2002-11-18,1097864,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2002-11-08,2002-11-23,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ON_20061130,ON,2006-11-30,1097864,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2006-11-20,2006-12-05,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_PCG_20030616,PCG,2003-06-16,1004980,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2003-06-06,2003-06-21,1
